"","quants",""
"1",0,-8.05174499489384
"2",0.001,-3.71403016585934
"3",0.002,-3.20449763205954
"4",0.003,-2.97275934170442
"5",0.004,-2.7977146571056
"6",0.005,-2.65432164530059
"7",0.006,-2.54797776724245
"8",0.007,-2.45683665181949
"9",0.008,-2.37051633880219
"10",0.009,-2.29726956981384
"11",0.01,-2.24039559833057
"12",0.011,-2.18658963120717
"13",0.012,-2.1259324367604
"14",0.013,-2.07388315611778
"15",0.014,-2.03460953363842
"16",0.015,-1.99206075816762
"17",0.016,-1.94736603755295
"18",0.017,-1.91146851630441
"19",0.018,-1.87763158053184
"20",0.019,-1.84853781541723
"21",0.02,-1.81974680178905
"22",0.021,-1.78757050003242
"23",0.022,-1.76245210338938
"24",0.023,-1.73158134671913
"25",0.024,-1.70672962758879
"26",0.025,-1.67917267207051
"27",0.026,-1.65475710053046
"28",0.027,-1.62979655864761
"29",0.028,-1.60831683639083
"30",0.029,-1.58656950757532
"31",0.03,-1.56450365837308
"32",0.031,-1.54647677234773
"33",0.032,-1.52775413929088
"34",0.033,-1.51105054401695
"35",0.034,-1.49379146195416
"36",0.035,-1.47628861444311
"37",0.036,-1.45874004632711
"38",0.037,-1.44239699751055
"39",0.038,-1.42691103700029
"40",0.039,-1.40946292176462
"41",0.04,-1.39226139954825
"42",0.041,-1.37638934694489
"43",0.042,-1.36189397466726
"44",0.043,-1.34711671816795
"45",0.044,-1.33454406628248
"46",0.045,-1.31996115575861
"47",0.046,-1.30558129948646
"48",0.047,-1.29185609575484
"49",0.048,-1.28001583870776
"50",0.049,-1.26669015799937
"51",0.05,-1.25454111021818
"52",0.051,-1.24254172830959
"53",0.052,-1.22856400249706
"54",0.053,-1.21775429639292
"55",0.054,-1.20582432508453
"56",0.055,-1.19560641562832
"57",0.056,-1.18529478007529
"58",0.057,-1.17539626452516
"59",0.058,-1.16405057684054
"60",0.059,-1.15261468457172
"61",0.06,-1.14259978383028
"62",0.061,-1.13165067588162
"63",0.062,-1.11894191737424
"64",0.063,-1.10968468157021
"65",0.064,-1.10009459547388
"66",0.065,-1.08963827118173
"67",0.066,-1.08039737292081
"68",0.067,-1.07076146052732
"69",0.068,-1.06242425401066
"70",0.069,-1.0537450192234
"71",0.07,-1.04536910202082
"72",0.071,-1.03792293848637
"73",0.072,-1.03020710920903
"74",0.073,-1.02212186409255
"75",0.074,-1.01348893663873
"76",0.075,-1.00512116126105
"77",0.076,-0.996950924098481
"78",0.077,-0.989170502073229
"79",0.078,-0.981035903207197
"80",0.079,-0.972595950396973
"81",0.08,-0.964105441772814
"82",0.081,-0.956623457242756
"83",0.082,-0.949387823639004
"84",0.083,-0.942203724937596
"85",0.084,-0.934343805564268
"86",0.085,-0.926881972962228
"87",0.086,-0.919648176796547
"88",0.087,-0.912044264652116
"89",0.088,-0.905257253095535
"90",0.089,-0.897771840977794
"91",0.09,-0.891184098105289
"92",0.091,-0.884866876657537
"93",0.092,-0.877742876701829
"94",0.093,-0.87140973193897
"95",0.094,-0.865143267109151
"96",0.095,-0.859215205273139
"97",0.096,-0.852694938995864
"98",0.097,-0.846034984022048
"99",0.098,-0.839989938042937
"100",0.099,-0.833687891136737
"101",0.1,-0.827090754752162
"102",0.101,-0.821329763259003
"103",0.102,-0.814920285351164
"104",0.103,-0.808373743882472
"105",0.104,-0.802387819456729
"106",0.105,-0.796474326909458
"107",0.106,-0.790298350656332
"108",0.107,-0.784194498945416
"109",0.108,-0.778183780949056
"110",0.109,-0.772320613044234
"111",0.11,-0.766281820490732
"112",0.111,-0.76121096634539
"113",0.112,-0.755677499164501
"114",0.113,-0.750625268427767
"115",0.114,-0.744769531067423
"116",0.115,-0.73928441307237
"117",0.116,-0.734523325038245
"118",0.117,-0.728839292460621
"119",0.118,-0.723217533062273
"120",0.119,-0.718711336488419
"121",0.12,-0.713779996899162
"122",0.121,-0.708535196209079
"123",0.122,-0.703905372474476
"124",0.123,-0.698897612840314
"125",0.124,-0.693477960943635
"126",0.125,-0.688875931227759
"127",0.126,-0.684173078041452
"128",0.127,-0.678812706525524
"129",0.128,-0.673690117614682
"130",0.129,-0.668971890336589
"131",0.13,-0.664828535514907
"132",0.131,-0.660298997548602
"133",0.132,-0.655721158524221
"134",0.133,-0.651476779209339
"135",0.134,-0.647191137728356
"136",0.135,-0.64282462791049
"137",0.136,-0.638170066442675
"138",0.137,-0.633599381978199
"139",0.138,-0.629502043323079
"140",0.139,-0.625281718118919
"141",0.14,-0.620561134073836
"142",0.141,-0.616424177591575
"143",0.142,-0.612163764433603
"144",0.143,-0.608375256035072
"145",0.144,-0.60438605210825
"146",0.145,-0.600421728006088
"147",0.146,-0.596396177456917
"148",0.147,-0.592308685058296
"149",0.148,-0.588141722698868
"150",0.149,-0.584081468131293
"151",0.15,-0.57947485047588
"152",0.151,-0.575583763460792
"153",0.152,-0.571296644192318
"154",0.153,-0.566522194709045
"155",0.154,-0.562338548858938
"156",0.155,-0.557772793781958
"157",0.156,-0.553589651973035
"158",0.157,-0.549422419525056
"159",0.158,-0.545410949949129
"160",0.159,-0.541928247633168
"161",0.16,-0.538079383691495
"162",0.161,-0.53460269164439
"163",0.162,-0.530024818349861
"164",0.163,-0.526310764586859
"165",0.164,-0.522239485666779
"166",0.165,-0.518545386029554
"167",0.166,-0.514963010026511
"168",0.167,-0.511595832200737
"169",0.168,-0.50793392099105
"170",0.169,-0.504392562496409
"171",0.17,-0.500789515629535
"172",0.171,-0.497427807732862
"173",0.172,-0.494238499783325
"174",0.173,-0.490340631769848
"175",0.174,-0.486838551046534
"176",0.175,-0.483612585345004
"177",0.176,-0.480221372957273
"178",0.177,-0.477118627025584
"179",0.178,-0.473622091199777
"180",0.179,-0.470115556698536
"181",0.18,-0.466638484567534
"182",0.181,-0.463588124150457
"183",0.182,-0.460648802941036
"184",0.183,-0.456978101397542
"185",0.184,-0.454072559645932
"186",0.185,-0.45104532060639
"187",0.186,-0.44802398993215
"188",0.187,-0.44458372182227
"189",0.188,-0.441469754979115
"190",0.189,-0.438331888375392
"191",0.19,-0.435075155808455
"192",0.191,-0.431785504841273
"193",0.192,-0.428564556476646
"194",0.193,-0.425379738812336
"195",0.194,-0.421488844584244
"196",0.195,-0.418103064530397
"197",0.196,-0.414916901187206
"198",0.197,-0.411921995536541
"199",0.198,-0.408911912885413
"200",0.199,-0.406073338058043
"201",0.2,-0.4032075712764
"202",0.201,-0.399788749475015
"203",0.202,-0.396339431787699
"204",0.203,-0.393436833315349
"205",0.204,-0.390044515639526
"206",0.205,-0.386553356546087
"207",0.206,-0.383749255149928
"208",0.207,-0.38052962499224
"209",0.208,-0.377812910497022
"210",0.209,-0.374639207147283
"211",0.21,-0.371595957077228
"212",0.211,-0.368805013085728
"213",0.212,-0.365998373757522
"214",0.213,-0.363168098431646
"215",0.214,-0.360322223997156
"216",0.215,-0.357579203290912
"217",0.216,-0.355019542604309
"218",0.217,-0.352219328070918
"219",0.218,-0.349286725733172
"220",0.219,-0.346549358084231
"221",0.22,-0.343643867817835
"222",0.221,-0.340478017945129
"223",0.222,-0.337564363243476
